player,team,position,games_played,current_points,avg_points_per_game,points_per_90,total_goal_involvement,recent_form_3_games,consistency,projected_simple,projected_form,projected_efficiency,projected_expected,final_projection,value_rating,value,points_per_million
Mathias Jensen,BRE,MID,9,28,3.11,241.19,4,4.33,2.8,118.17999999999999,153.66666666666666,9165.22,36.12,2368.2966666666666,100.0,10.490071654702227,225.76553760765455
Fábio Freitas Gouveia Carvalho,BRE,MID,9,11,1.22,96.67,1,0.33,2.22,46.36,20.666666666666664,3673.46,19.635555555555555,940.0305555555556,51.22142208725589,8.128917008590559,115.64031894557917
Maxim De Cuyper,BHA,DEF,9,28,3.11,49.62,3,3.33,3.69,118.17999999999999,124.66666666666667,1885.56,55.968888888888884,600.7032777777779,50.03661236092382,5.317585161023697,112.96542689729779
Lukas Nmecha,LEE,FWD,9,9,1.0,52.71,0,1.0,0.0,38.0,38.0,2002.98,18.924444444444443,550.6999166666667,29.01995184541029,8.405444295308701,65.51705029727302
Erling Haaland,MCI,FWD,9,108,12.0,12.47,17,12.33,3.54,456.0,465.6666666666667,473.86,220.13333333333333,424.11075,16.32553802119771,11.506788457869444,36.85743868089905
Justin Devenny,CRY,MID,9,8,0.89,40.92,0,0.67,0.33,33.82,27.333333333333332,1554.96,20.373333333333335,409.12166666666667,25.4849496921604,7.110678619165258,57.53623368154622
Andy Irving,WHU,MID,9,6,0.67,40.33,0,1.0,0.71,25.46,35.0,1532.54,6.257777777777778,399.81444444444446,15.522419908904908,11.408837740719257,35.04427475705677
Harvey Barnes,NEW,MID,9,11,1.22,32.59,0,1.0,0.67,46.36,40.0,1238.42,22.857777777777777,336.90944444444443,16.260857875598887,9.177239856891312,36.71141320246247
Danny Welbeck,BHA,FWD,9,52,5.78,17.67,8,8.33,5.47,219.64000000000001,293.6666666666667,671.46,93.88888888888889,335.6470833333334,34.576715305625925,4.299733064346707,78.06230719681454
Toti Gomes,WOL,DEF,9,7,0.78,30.5,0,0.33,0.67,29.64,16.666666666666664,1159.0,7.515555555555555,333.5261111111111,12.849866432350138,11.496710017532221,29.010570032860826
Arnaud Kalimuendo,NFO,FWD,9,6,0.67,31.76,0,0.33,0.5,25.46,15.666666666666666,1206.88,13.991111111111111,331.2744166666667,34.572960344231035,4.244178889956926,78.0538297880344
Gabriel dos Santos Magalhães,ARS,DEF,9,82,9.11,9.11,4,11.33,4.4,346.17999999999995,410.6666666666667,346.17999999999995,98.36888888888889,330.3837777777778,15.046103761469572,9.72606154413253,33.96891704608731
Igor Julio dos Santos de Paulo,WHU,DEF,9,3,0.33,30.0,0,0.33,0.5,12.540000000000001,12.666666666666666,1140.0,3.0,321.25683333333336,31.466135689217463,4.522216123273572,71.03969040311586
Eli Junior Kroupi,BOU,FWD,9,30,3.33,21.62,5,6.0,4.36,126.54,204.0,821.5600000000001,54.23111111111111,316.66191666666674,15.673330714561256,8.949049073779083,35.38497934875487
Antoine Semenyo,BOU,MID,9,84,9.33,9.33,12,9.67,5.55,354.54,364.3333333333333,354.54,130.78666666666666,301.05,20.672878497669263,6.450301730757404,46.672235279240226
William Osula,NEW,FWD,9,9,1.0,27.54,0,1.0,0.0,38.0,38.0,1046.52,9.0,297.024,13.750810423132718,9.567657027964225,31.044591077194976
Tolu Arokodare,WOL,FWD,9,12,1.33,26.47,0,1.0,0.5,50.540000000000006,41.0,1005.8599999999999,19.991111111111113,293.31516666666664,13.85302924943429,9.378472726504722,31.27536595993096
Dan Neil,SUN,MID,9,3,0.33,30.0,0,0.33,0.5,12.540000000000001,12.666666666666666,1140.0,3.0,292.0516666666667,25.86667021505521,5.001053653841736,58.39802707221845
Omar Alderete,SUN,DEF,9,74,8.22,8.22,3,7.67,7.14,312.36,296.33333333333337,312.36,96.94222222222223,279.9487777777778,11.117105448365015,11.153963056611847,25.09859288191113
Raúl Jiménez Rodríguez,FUL,FWD,9,23,2.56,21.89,3,2.67,2.65,97.28,100.33333333333333,831.82,26.22222222222222,277.1095833333334,14.63561744369061,8.386540474799453,33.042180403947775
Brennan Johnson,TOT,MID,9,9,1.0,25.68,0,1.0,0.0,38.0,38.0,975.84,10.417777777777777,265.56444444444446,10.666823593618952,11.027502540271032,24.082011631793964
Estêvão Almeida de Oliveira Gonçalves,CHE,MID,9,30,3.33,18.6,3,4.67,2.87,126.54,165.33333333333334,706.8000000000001,53.97333333333333,263.1616666666667,12.97984595612703,8.980395031660157,29.304019003495597
Djed Spence,TOT,DEF,9,14,1.56,21.8,0,1.0,1.51,59.28,43.0,828.4,16.32,260.425,11.134599909974874,10.359777006236142,25.138089347216194
James Justin,LEE,DEF,9,4,0.44,22.86,0,0.33,0.53,16.72,13.666666666666666,868.68,4.0,248.34333333333333,16.81190610898431,6.5430147777189775,37.955490209042544
Cristhian Mosquera,ARS,DEF,9,12,1.33,21.44,0,0.33,2.18,50.540000000000006,21.666666666666664,814.72,12.515555555555556,247.34661111111114,24.26493500035327,4.515118814970187,54.78186095369549
Sven Botman,NEW,DEF,9,39,4.33,14.22,0,3.33,2.74,164.54,135.66666666666669,540.36,47.76444444444444,244.29105555555557,13.44149991263603,8.05011683497343,30.34627454029515
Joe Worrall,BUR,DEF,9,3,0.33,22.5,0,0.33,0.5,12.540000000000001,12.666666666666666,855.0,3.0,242.88183333333336,13.478130305024697,7.981926652560097,30.428973342599214
Nordi Mukiele,SUN,DEF,9,59,6.56,6.56,1,8.67,4.48,249.27999999999997,310.3333333333333,249.27999999999997,70.21333333333334,241.75433333333334,9.45401025712751,11.326625704717232,21.34389708248673
Lewis Miley,NEW,MID,9,12,1.33,21.56,1,1.67,1.58,50.540000000000006,60.333333333333336,819.28,15.995555555555555,236.53722222222223,26.148881474562447,4.006717536556368,59.03516283943429
Ian Maatsen,AVL,DEF,9,3,0.33,21.25,0,0.67,0.5,12.540000000000001,22.333333333333332,807.5,4.031111111111111,232.76122222222224,9.03904829969893,11.405918734881656,20.407055988430844
Igor Thiago Nascimento Rodrigues,BRE,FWD,9,56,6.22,6.63,7,7.67,5.47,236.35999999999999,278.33333333333337,251.94,114.64444444444445,231.3354166666667,16.142229896487123,6.347766597299666,36.44359210766769
Nick Woltemade,NEW,FWD,9,54,6.0,7.29,7,7.0,2.45,228.0,257.0,277.02,117.54222222222222,230.88508333333334,13.652877077862852,7.490555850191192,30.823491333749303
Emiliano Buendía Stati,AVL,MID,9,47,5.22,11.05,7,6.33,5.49,198.35999999999999,230.66666666666666,419.90000000000003,69.55555555555556,229.62055555555557,9.075200898208307,11.207193401395715,20.48867609681468
Yerson Mosquera Valdelamar,WOL,DEF,9,6,0.67,20.59,0,0.33,0.71,25.46,15.666666666666666,782.42,7.288888888888889,228.4797777777778,14.727137555576606,6.8718200056977645,33.24880127656632
Matheus Nunes,MCI,DEF,9,55,6.11,6.33,6,8.0,4.96,232.18,287.0,240.54,66.98666666666666,227.34433333333337,9.124877914023223,11.035688216435888,20.600829678636664
Gabriel Martinelli Silva,ARS,MID,9,21,2.33,19.26,2,1.0,2.65,88.54,50.0,731.8800000000001,35.69333333333333,226.52833333333336,21.763187371861434,4.610440053665664,49.13377697064415
Christantus Uche,CRY,FWD,9,3,0.33,21.67,0,0.33,0.5,12.540000000000001,12.666666666666666,823.46,3.128888888888889,223.59633333333338,9.832654032594498,10.072476665266397,22.19874423778769
Declan Rice,ARS,MID,9,59,6.56,7.28,5,7.67,3.97,249.27999999999997,281.33333333333337,276.64,84.00444444444445,222.81444444444443,18.927502773061597,5.214256294322071,42.731778391306236
Amadou Onana,AVL,MID,9,6,0.67,20.49,0,1.67,1.32,25.46,54.333333333333336,778.6199999999999,6.128888888888889,216.13555555555553,9.242909369190565,10.35761760437044,20.86730402794135
Séamus Coleman,EVE,DEF,9,2,0.22,20.0,0,0.33,0.44,8.36,11.666666666666666,760.0,2.0,215.05733333333333,13.191805078126503,7.220917477720809,29.782549654786177
Donyell Malen,AVL,MID,9,38,4.22,10.84,4,6.0,6.12,160.35999999999999,212.0,411.92,56.17333333333333,210.11333333333332,14.353507978248556,6.483923894560568,32.40527445265044
Sean Longstaff,LEE,MID,9,57,6.33,6.38,6,6.33,6.5,240.54,240.66666666666666,242.44,85.8711111111111,202.37944444444443,10.063784909014428,8.907327166982762,22.72055810351443
Jean-Philippe Mateta,CRY,FWD,9,41,4.56,4.69,5,7.0,4.98,173.27999999999997,244.0,178.22000000000003,172.72444444444446,201.65891666666667,15.272067239990877,5.848735120094334,34.4790647081679
Jeremie Frimpong,LIV,DEF,9,8,0.89,17.21,1,0.67,1.27,33.82,27.333333333333332,653.98,13.542222222222222,200.3857777777778,9.98244728706143,8.891442413132054,22.53692578403496
Reece James,CHE,DEF,9,44,4.89,5.0,7,8.33,5.01,185.82,285.6666666666667,190.0,67.07111111111111,200.3533888888889,8.68393620576693,10.219329903172202,19.605335260455465
